carname,carprice,carbrand,cartype,powerway,timemark,car_motor,motor_type,car_gl,car_nj,battery_type,battery_tec,battery_brand,battery_cap,dir_way,bef_xg,aft_xg
幻影 2011款 6.7L 自动 后驱 4座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
奔驰S级 2018款 3.0T 自动 后驱 4座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
兰德酷路泽(进口) 2002款 4.7L 自动 四驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
添越 2021款 4.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
Wagoneer 2023款 Wagoneer L Carbide,暂无报价,,,,,,,,,,,,,,,
Wagoneer 2023款 Grand Wagoneer L Series III,暂无报价,,,,,,,,,,,,,,,
菲亚特500 2022款 La Prima by Bocelli 欧洲版,暂无报价,,,,,,,,,,,,,,,
哈弗M6 2021款 PLUS 1.5T 手动智享型,7.9万,长城汽车,紧凑型SUV,汽油,2022.04,1.5T 150马力 L4,1497,4,L,6挡手动,6,手动变速箱(MT),,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
哈弗M6 2021款 PLUS 1.5T DCT智享型,8.9万,长城汽车,紧凑型SUV,汽油,2022.04,1.5T 150马力 L4,1497,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
菲亚特500e 2023款 3+1,暂无报价,,,,,,,,,,,,,,,
哪吒U 2022款 Pro 400 畅行网约版,14.98万,合众汽车,紧凑型SUV,纯电动,2022.04,纯电动 163马力,永磁/同步,120,210,三元锂电池,宁德时代或天津市捷威动力,5年或50万公里,,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
Abarth 695 2021款 Abarth 695 Maserati Edition,暂无报价,,,,,,,,,,,,,,,
Abarth 695 2014款 Abarth 695 Biposto,暂无报价,,,,,,,,,,,,,,,
Abarth 695 2017款 Abarth 695 Rivale 175 Anniversary edition,暂无报价,,,,,,,,,,,,,,,
Abarth 695 2020款 Abarth 695 70th Anniversary,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
Abarth 595 2014款 Abarth 595 50th Anniversary,暂无报价,,,,,,,,,,,,,,,
Abarth 595 2017款 Abarth 595 Pista,暂无报价,,,,,,,,,,,,,,,
Abarth 595 2020款 Abarth 595 Pista,暂无报价,,,,,,,,,,,,,,,
宝马X7 2022款 3.0T 自动 四驱 7座 平行进口,暂无报价,,48V轻混系统,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
Abarth 124 2016款 Abarth 124 Spider,暂无报价,,汽油,,2.0L 160马力 L4 多点电喷发动机 欧IV,118(160Ps),1999,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,
Abarth 124 2016款 Abarth 124 Anniversary Limited Edition,暂无报价,,汽油,,2.0L 160马力 L4 多点电喷发动机 欧IV,118(160Ps),1999,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,
Abarth 124 2017款 Abarth 124 GT,暂无报价,,汽油,,2.0L 160马力 L4 多点电喷发动机 欧IV,118(160Ps),1999,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,
Abarth 124 2019款 Abarth 124 Rally Tribute,暂无报价,,汽油,,2.0L 160马力 L4 多点电喷发动机 欧IV,118(160Ps),1999,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,
Abarth 124 2019款 Abarth 124 Spider,暂无报价,,汽油,,2.0L 160马力 L4 多点电喷发动机 欧IV,118(160Ps),1999,4,L,6挡手自一体,6,手自一体变速箱(AT),,通风盘式,实心盘式,
Abarth 124 2020款 Abarth 124 Spider,暂无报价,,,,,,,,,,,,,,,
AION Y 2022款 70 行政版 磷酸铁锂,17.98万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,磷酸铁锂电池,弹匣电池,时代广汽,63.98,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
Telluride 2023款 基本型,暂无报价,,,,,,,,,,,,,,,
极睿EV 2023款 美版,暂无报价,,,,,,,,,,,,,,,
AION Y 2022款 80 行政版 三元锂,18.98万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中创新航,76.8,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
极睿PHEV 2023款 美版,暂无报价,,,,,,,,,,,,,,,
极睿 2023款 美版,暂无报价,,,,,,,,,,,,,,,
Airflow 2022款 Graphite Concept,暂无报价,,,,,,,,,,,,,,,
AION Y 2022款 70 乐享版 三元锂,13.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中航锂电,59,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION Y 2022款 70 智领版 三元锂,14.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中航锂电,59,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION Y 2022款 70 智驾版 三元锂,15.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中航锂电,59,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION Y 2022款 70 科技版 三元锂,15.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中航锂电,59,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION Y 2022款 70 行政版 三元锂,17.98万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 184马力,永磁/同步,135,225,三元锂电池,弹匣电池,中航锂电,59,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
哪吒U 2022款 智400 磷酸铁锂,12.38万,合众汽车,紧凑型SUV,纯电动,2022.04,纯电动 163马力,永磁/同步,120,210,磷酸铁锂电池,宁德时代或天津市捷威动力,首任车主不限年限/里程（责任免除条款以官方为准）,,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
哪吒U 2022款 智400 Pro 磷酸铁锂,12.78万,合众汽车,紧凑型SUV,纯电动,2022.04,纯电动 163马力,永磁/同步,120,210,磷酸铁锂电池,宁德时代或天津市捷威动力,首任车主不限年限/里程（责任免除条款以官方为准）,,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
哪吒U 2022款 智500 磷酸铁锂,14.48万,合众汽车,紧凑型SUV,纯电动,2022.04,纯电动 163马力,永磁/同步,120,210,磷酸铁锂电池,宁德时代或天津市捷威动力,首任车主不限年限/里程（责任免除条款以官方为准）,,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
哪吒U 2022款 智500 Pro 磷酸铁锂,15.58万,合众汽车,紧凑型SUV,纯电动,2022.04,纯电动 163马力,永磁/同步,120,210,磷酸铁锂电池,宁德时代或天津市捷威动力,首任车主不限年限/里程（责任免除条款以官方为准）,,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
AION S 2022款 Plus 70 行政版,18.49万,广汽埃安新能源,紧凑型车,纯电动,2022.04,纯电动 204马力,永磁/同步,150,350,三元锂电池,弹匣电池,中创新航,58.8,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION S 2022款 Plus 80 行政版,19.16万,广汽埃安新能源,紧凑型车,纯电动,2022.04,纯电动 224马力,永磁/同步,165,350,三元锂电池,弹匣电池,孚能科技,69.9,前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
AION V 2022款 Plus 70 智领版 三元锂,18.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 224马力,永磁/同步,165,350,三元锂电池,弹匣电池,孚能科技,69.9,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
AION V 2022款 Plus 70 智享科技版 三元锂,19.76万,广汽埃安新能源,紧凑型SUV,纯电动,2022.04,纯电动 224马力,永磁/同步,165,350,三元锂电池,弹匣电池,孚能科技,69.9,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
AION V 2022款 Plus 70 行政版 磷酸铁锂,19.16万,,纯电动,,纯电动 224马力,500,永磁/同步,165,350,磷酸铁锂电池,弹匣电池,中航锂电,71.8,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
AION V 2022款 Plus 70 行政版 三元锂,19.16万,,纯电动,,纯电动 224马力,500,永磁/同步,165,350,三元锂电池,弹匣电池,中航锂电,69.9,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
AION V 2022款 Plus 80 行政版 三元锂,22.96万,,纯电动,,纯电动 224马力,600,永磁/同步,165,350,三元锂电池,弹匣电池,中航锂电,80,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
AION V 2022款 Plus 80 领袖版 三元锂,26.59万,,纯电动,,纯电动 224马力,600,永磁/同步,165,350,三元锂电池,弹匣电池,中航锂电,80,前置前驱,麦弗逊式独立悬挂,多连杆式独立悬挂
 0款 ,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
普拉多(进口) 2013款 4.0L 自动 四驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,,,,,,,,,,,,,,
挑战者 2017款 3.6L 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
上汽大通MAXUS V80房车 2016款 2.5T 自动 后驱 6座 原厂定制版,暂无报价,,柴油,,,,,,,,,,,,,
挑战者 2016款 6.2L 自动 后驱 4座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
揽胜星脉 2022款 HST edition,暂无报价,,,,,,,,,,,,,,,
启辰e30 2021款 改款 精灵版,7.24万,东风日产启辰,小型SUV,纯电动,2022.04,纯电动 45马力,永磁/同步,33,125,三元锂电池,8年或12万公里,26.8,"快充0.5小时
慢充4小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
启辰e30 2021款 改款 精英版,7.74万,东风日产启辰,小型SUV,纯电动,2022.04,纯电动 45马力,永磁/同步,33,125,三元锂电池,8年或12万公里,26.8,"快充0.5小时
慢充4小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
库里南 2021款 6.7L 自动 四驱 4座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
思域(进口) 2022款 两厢 e:HEV 日本版,暂无报价,,,,,,,,,,,,,,,
宝马X7 2021款 3.0T 自动 四驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
启辰e30 2021款 改款 精睿版,8.54万,东风日产启辰,小型SUV,纯电动,2022.04,纯电动 45马力,永磁/同步,33,125,三元锂电池,8年或12万公里,26.8,"快充0.5小时
慢充4小时",前置前驱,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂
 0款 ,暂无报价,,汽油,,,,,,,,,,,,,
ALPINA XB7 2023款 基本型,暂无报价,,,,,,,,,,,,,,,
揽胜 2013款 5.0L 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
宝马2系 2022款 M240i xDrive Coupe 新加坡版,暂无报价,,,,,,,,,,,,,,,
星迈罗 2022款 基本型,暂无报价,,汽油,,1.5T 184马力 L4,135(184Ps),1498,4,L,CVT无级变速(模拟无级变速挡),无级变速,无级变速箱(CVT),,通风盘式,实心盘式,
五菱Air ev晴空 2022款 四座版,暂无报价,,,,,,,,,,,,,,,
Cybertruck 2020款 基本型,暂无报价,,,,,,,,,,,,,,,
本田XR-V 2023款 1.5L CVT热爱版,15.29万,东风本田,小型SUV,汽油,2022.08,1.5L 124马力 L4,1498,4,L,CVT无级变速,无级变速,无级变速箱(CVT),,通风盘式,实心盘式,电子驻车
帕杰罗(进口) 2020款 3.0L 自动 四驱 7座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
凯路威 2018款 2.0T 自动 四驱 7座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
奔驰S级 2021款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
发现 2017款 3.0T 自动 四驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
奔驰G级 2018款 3.0T 自动 四驱 5座 平行进口,暂无报价,,柴油,,,,,,,,,,,,,
科尔维特 2016款 6.2L 自动 四驱 2座 平行进口,暂无报价,,液化石油气(LPG),,,,,,,,,,,,,
风行游艇 2022款 1.5T DCT扬帆版,11.99万,东风风行,中型MPV,汽油,2022.07,1.5T 197马力 L4,1481,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
风行游艇 2022款 1.5T DCT逐浪版,14.19万,东风风行,中型MPV,汽油,2022.07,1.5T 197马力 L4,1481,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
智己L7 2022款 Dynamic版,36.88万,智己汽车,中大型车,纯电动,2022.04,纯电动 578马力,永磁/同步,175,725,三元锂电池,上汽时代动力电池,首任车主不限年限/里程（责任免除条款以官方为准）,195.0,双电机四驱,电动四驱,双叉臂式独立悬挂
宝马X6 2018款 3.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
奔驰GLE AMG 2017款 3.0T 自动 后驱 5座 平行进口,暂无报价,,汽油,,,,,,,,,,,,,
博越 2022款 1.8TD DCT智享型,10.28万,吉利汽车,紧凑型SUV,汽油,2022.04,1.8T 184马力 L4,1799,4,L,7挡双离合,7,湿式双离合变速箱（DCT）,,通风盘式,实心盘式,电子驻车
宝马X7 2022款 3.0T 自动 四驱 6座 平行进口,暂无报价,,48V轻混系统,,,,,,,,,,,,,
宝马2系旅行车(进口) 2022款 223i M Sport 英国版,暂无报价,,,,,,,,,,,,,,,
思域 2022款 2.0L e:HEV 劲速版,18.79万,东风本田,紧凑型车,油电混合,2022.08,2.0L 143马力 L4,1993,4,L,混合动力 184马力,永磁/同步,135,315,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
全顺 2019款 2.0T 自动 前驱 5座 原厂定制版,暂无报价,,汽油,,,,,,,,,,,,,
小麒麟 2022款 心动版,5.59万,雷诺 江铃集团,微型车,纯电动,2022.11,纯电动 35马力,永磁/同步,26,84,磷酸铁锂电池,欣旺达,8年或15万公里,120.0,前置前驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
思皓X6 2022款 低配版,暂无报价,,,,,,,,,,,,,,,
铃拓 2022款 2.0T两驱自动领尚版 国VI 4G20,13.68万,江西五十铃,中型皮卡,汽油,2022.05,2.0T 220马力 L4,1997,4,L,8挡自动,8,自动变速箱(AT),,通风盘式,实心盘式,电子驻车
铃拓 2022款 2.0T四驱自动领臻版 国VI 4G20,18.28万,江西五十铃,中型皮卡,汽油,2022.05,2.0T 220马力 L4,1997,4,L,8挡自动,8,自动变速箱(AT),,通风盘式,实心盘式,电子驻车
mu-X牧游侠 2022款 2.0T 汽油自动两驱劲悦型 5座,16.68万,江西五十铃,中型SUV,汽油,2022.05,2.0T 220马力 L4,1997,4,L,8挡手自一体,8,手自一体变速箱(AT),,通风盘式,实心盘式,电子驻车
 0款 ,暂无报价,,,,,,,,,,,,,,,
特顺EV 2022款 经典款物流版短轴中顶,暂无报价,,纯电动,,纯电动 163马力,200,永磁/同步,120,800,三元锂电池,5年或20万公里,58.1,"快充0.67小时
慢充7小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 经典款物流版短轴低顶,暂无报价,,纯电动,,纯电动 163马力,200,永磁/同步,120,800,三元锂电池,5年或20万公里,58.1,"快充0.67小时
慢充7小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 经典款物流版长轴中顶,暂无报价,,纯电动,,纯电动 163马力,300,永磁/同步,120,800,三元锂电池,5年或20万公里,80.4,"快充0.67小时
慢充9小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 经典款物流版长轴高顶,暂无报价,,纯电动,,纯电动 163马力,300,永磁/同步,120,800,三元锂电池,5年或20万公里,80.4,"快充0.67小时
慢充9小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 性能款物流版短轴中顶,暂无报价,,纯电动,,纯电动 163马力,283,永磁/同步,120,320,磷酸铁锂电池,6年或30万公里,60.16,"快充0.8小时
慢充11小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 性能款物流版短轴低顶,暂无报价,,纯电动,,纯电动 163马力,283,永磁/同步,120,320,磷酸铁锂电池,6年或30万公里,60.16,"快充0.8小时
慢充11小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 性能款物流版长轴中顶,暂无报价,,纯电动,,纯电动 163马力,250,永磁/同步,120,320,磷酸铁锂电池,6年或30万公里,65.17,"快充0.8小时
慢充11小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
特顺EV 2022款 性能款物流版长轴高顶,暂无报价,,纯电动,,纯电动 163马力,250,永磁/同步,120,320,磷酸铁锂电池,6年或30万公里,65.17,"快充0.8小时
慢充11小时",后置后驱,麦弗逊式独立悬挂,整体桥式非独立悬挂
